"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"195","0.071611","0.019163","0.005128","0.000966","0.000008","0.017237","0.185000","0.000434","0.000896","0.001667","0.003839"
"196","0.071429","0.019090","0.005102","0.000939","0.000710","0.019046","0.183964","0.001517","0.001265","0.003192","0.003981"
"197","0.071247","0.019017","0.005076","0.001550","0.000441","0.017311","0.185002","0.000166","0.002942","0.001671","0.003227"
"198","0.071067","0.018945","0.005051","0.002145","0.000340","0.017206","0.184496","0.000333","0.002677","0.000842","0.004244"
"199","0.070888","0.018874","0.005025","0.002962","0.000690","0.016125","0.184934","0.001068","0.003353","0.000122","0.003142"
"200","0.070711","0.018803","0.005000","0.004695","0.002147","0.017194","0.183414","0.002398","0.003574","0.000104","0.002020"
"201","0.070535","0.018733","0.004975","0.005846","0.001724","0.015066","0.184489","0.000986","0.001933","0.000669","0.001835"
"202","0.070360","0.018663","0.004950","0.004608","0.000211","0.014268","0.184240","0.000165","0.002577","0.001522","0.000893"
"203","0.070186","0.018594","0.004926","0.002449","0.001248","0.015212","0.184851","0.000081","0.002891","0.001448","0.001277"
"204","0.070014","0.018526","0.004902","0.002945","0.001229","0.015225","0.183600","0.001737","0.002732","0.000371","0.000366"
"205","0.069843","0.018458","0.004878","0.004511","0.001760","0.016965","0.184489","0.000886","0.001467","0.000435","0.000792"
"206","0.069673","0.018391","0.004854","0.005847","0.000335","0.015503","0.183746","0.001405","0.001580","0.000005","0.001673"
"207","0.069505","0.018324","0.004831","0.005573","0.000829","0.015825","0.183956","0.001390","0.002905","0.001042","0.002684"
"208","0.069338","0.018258","0.004808","0.005598","0.001315","0.014816","0.182264","0.003057","0.002923","0.000278","0.002568"
"209","0.069171","0.018192","0.004785","0.006529","0.000309","0.015655","0.183306","0.002126","0.002415","0.001360","0.003657"
"210","0.069007","0.018127","0.004762","0.006988","0.000139","0.015426","0.183179","0.001716","0.003563","0.002190","0.004197"
"211","0.068843","0.018063","0.004739","0.007128","0.002102","0.014900","0.183838","0.002157","0.004479","0.000737","0.003293"
"212","0.068680","0.017999","0.004717","0.007168","0.000956","0.016124","0.182751","0.003129","0.004309","0.001094","0.003280"
"213","0.068519","0.017936","0.004695","0.006034","0.001547","0.015807","0.183647","0.001627","0.003246","0.000781","0.003815"
"214","0.068359","0.017873","0.004673","0.004314","0.000929","0.015285","0.183047","0.001288","0.004155","0.000192","0.003996"
"215","0.068199","0.017810","0.004651","0.005217","0.002136","0.013976","0.183340","0.000580","0.003588","0.000749","0.005202"
"216","0.068041","0.017748","0.004630","0.004098","0.001990","0.014501","0.181816","0.002435","0.003036","0.000180","0.004311"
"217","0.067884","0.017687","0.004608","0.005810","0.001818","0.016411","0.182767","0.001876","0.001544","0.001859","0.005647"
"218","0.067729","0.017626","0.004587","0.005212","0.003323","0.015255","0.182410","0.001025","0.000301","0.002917","0.005886"
"219","0.067574","0.017566","0.004566","0.005033","0.003449","0.015703","0.182876","0.000306","0.001342","0.004311","0.007567"
"220","0.067420","0.017506","0.004545","0.003763","0.003031","0.015187","0.181598","0.001065","0.000043","0.002765","0.008243"
"221","0.067267","0.017446","0.004525","0.004757","0.002036","0.016485","0.182350","0.000552","0.000864","0.002612","0.008670"
"222","0.067116","0.017387","0.004505","0.005211","0.002863","0.014803","0.181538","0.000092","0.001054","0.001916","0.009621"
"223","0.066965","0.017329","0.004484","0.005908","0.004802","0.014534","0.181619","0.000214","0.000204","0.003174","0.011069"
"224","0.066815","0.017271","0.004464","0.004842","0.003882","0.015870","0.179947","0.001315","0.001036","0.003098","0.011242"
"225","0.066667","0.017213","0.004444","0.004116","0.004450","0.016126","0.180902","0.000146","0.001594","0.002091","0.012813"
"226","0.066519","0.017156","0.004425","0.004036","0.004318","0.015597","0.180826","0.000041","0.002070","0.002581","0.012575"
"227","0.066372","0.017099","0.004405","0.002534","0.005863","0.014572","0.181458","0.000062","0.001553","0.001922","0.010682"
"228","0.066227","0.017043","0.004386","0.002690","0.004406","0.015370","0.180497","0.001169","0.002005","0.002506","0.009031"
"229","0.066082","0.016987","0.004367","0.002752","0.004460","0.014692","0.181334","0.000075","0.000824","0.000839","0.009103"
