"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"237","0.064957","0.016555","0.004219","0.035865","0.002109","0.010548","0.006329","0.014768","0.010549"
"238","0.064820","0.016503","0.004202","0.037815","0.000000","0.012605","0.008404","0.012605","0.012605"
"239","0.064685","0.016451","0.004184","0.035565","0.002092","0.014644","0.010460","0.014644","0.014645"
"240","0.064550","0.016400","0.004167","0.033333","0.004166","0.016667","0.008334","0.016667","0.012500"
"241","0.064416","0.016349","0.004149","0.035270","0.006224","0.014523","0.006224","0.018672","0.014523"
"242","0.064282","0.016298","0.004132","0.037190","0.004132","0.016529","0.004132","0.016529","0.016529"
"243","0.064150","0.016248","0.004115","0.039094","0.002057","0.014403","0.002058","0.018518","0.018519"
"244","0.064018","0.016198","0.004098","0.036885","0.000000","0.012295","0.004099","0.016393","0.016394"
"245","0.063888","0.016148","0.004082","0.034694","0.002041","0.014286","0.002041","0.014286","0.018367"
"246","0.063758","0.016099","0.004065","0.036585","0.004065","0.016260","0.004065","0.012195","0.016260"
"247","0.063628","0.016050","0.004049","0.034413","0.002024","0.018218","0.006073","0.010121","0.018219"
"248","0.063500","0.016002","0.004032","0.036290","0.004032","0.016129","0.004032","0.012097","0.016129"
"249","0.063372","0.015953","0.004016","0.038152","0.002008","0.014056","0.002008","0.014056","0.018072"
"250","0.063246","0.015905","0.004000","0.040000","0.004000","0.016000","0.000000","0.016000","0.020000"
"251","0.063119","0.015858","0.003984","0.041832","0.001992","0.017928","0.001992","0.013944","0.017928"
"252","0.062994","0.015811","0.003968","0.039682","0.003968","0.019841","0.000000","0.011905","0.019841"
"253","0.062869","0.015764","0.003953","0.037549","0.005929","0.017786","0.001976","0.009881","0.021739"
"254","0.062746","0.015717","0.003937","0.039370","0.003937","0.015748","0.000000","0.011811","0.019685"
"255","0.062622","0.015671","0.003922","0.037255","0.001961","0.013725","0.001961","0.013725","0.017647"
"256","0.062500","0.015625","0.003906","0.035156","0.003906","0.015625","0.000000","0.011719","0.019531"
"257","0.062378","0.015579","0.003891","0.033074","0.005836","0.013618","0.001946","0.013619","0.021401"
"258","0.062257","0.015534","0.003876","0.034883","0.003876","0.011628","0.003876","0.015504","0.019380"
"259","0.062137","0.015489","0.003861","0.032818","0.001930","0.013513","0.005792","0.013513","0.021236"
"260","0.062017","0.015444","0.003846","0.030769","0.000000","0.011538","0.007692","0.015384","0.019231"
"261","0.061898","0.015400","0.003831","0.032567","0.001915","0.013410","0.009579","0.013410","0.021073"
"262","0.061780","0.015356","0.003817","0.034351","0.003817","0.011450","0.007634","0.011450","0.022901"
"263","0.061663","0.015312","0.003802","0.032319","0.001901","0.013308","0.005704","0.009506","0.020913"
"264","0.061546","0.015269","0.003788","0.030303","0.000000","0.011364","0.007576","0.007576","0.018939"
"265","0.061430","0.015225","0.003774","0.032075","0.001887","0.009434","0.009434","0.005660","0.020755"
"266","0.061314","0.015182","0.003759","0.033834","0.000000","0.011278","0.007519","0.007519","0.018797"
"267","0.061199","0.015140","0.003745","0.031835","0.001872","0.013109","0.009363","0.005618","0.020599"
"268","0.061085","0.015097","0.003731","0.033582","0.000000","0.014925","0.007463","0.003731","0.022388"
"269","0.060971","0.015055","0.003717","0.031598","0.001859","0.013011","0.005576","0.001859","0.024164"
"270","0.060858","0.015013","0.003704","0.029629","0.000000","0.011111","0.003704","0.000000","0.025926"
"271","0.060746","0.014972","0.003690","0.027675","0.001845","0.009225","0.005535","0.001845","0.023985"
"272","0.060634","0.014930","0.003676","0.025735","0.003677","0.011029","0.007353","0.003676","0.025735"
"273","0.060523","0.014889","0.003663","0.027472","0.001832","0.012820","0.005495","0.005494","0.027472"
"274","0.060412","0.014849","0.003650","0.025547","0.000000","0.010949","0.003650","0.003649","0.025547"
"275","0.060302","0.014808","0.003636","0.027272","0.001818","0.012727","0.005455","0.005454","0.023636"
"276","0.060193","0.014768","0.003623","0.025362","0.003623","0.010870","0.003623","0.007246","0.025362"
"277","0.060084","0.014728","0.003610","0.023465","0.001805","0.012635","0.005415","0.009025","0.023466"
