"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"61","0.128037","0.045814","0.016393","0.318310","0.318310","0.025952","0.023228","0.025952","0.105195","0.025953","0.006834","0.025952","0.009559","0.025953"
"62","0.127000","0.045259","0.016129","0.318310","0.318310","0.020400","0.027987","0.036529","0.092503","0.020400","0.011858","0.036529","0.004271","0.020400"
"63","0.125988","0.044719","0.015873","0.318310","0.318310","0.030897","0.016723","0.030896","0.096088","0.015024","0.000849","0.030897","0.000850","0.015024"
"64","0.125000","0.044194","0.015625","0.318310","0.318310","0.041065","0.005810","0.025440","0.099560","0.009815","0.009815","0.041065","0.005810","0.025440"
"65","0.124035","0.043683","0.015385","0.318310","0.318310","0.035536","0.010618","0.020152","0.102925","0.020152","0.004767","0.035536","0.004767","0.020152"
"66","0.123091","0.043186","0.015152","0.318310","0.318310","0.030175","0.015280","0.030175","0.091037","0.015024","0.000128","0.030175","0.000128","0.015024"
"67","0.122169","0.042702","0.014925","0.318310","0.318310","0.024974","0.004877","0.024974","0.094429","0.024974","0.010048","0.024974","0.004877","0.010048"
"68","0.121268","0.042230","0.014706","0.318310","0.318310","0.034631","0.005220","0.019925","0.097722","0.019926","0.005220","0.019926","0.009486","0.019926"
"69","0.120386","0.041770","0.014493","0.318310","0.318310","0.029516","0.000531","0.015023","0.100919","0.029516","0.000531","0.029516","0.000531","0.015024"
"70","0.119523","0.041322","0.014286","0.318310","0.318310","0.024547","0.010262","0.024547","0.089738","0.024547","0.004024","0.024547","0.004024","0.010262"
"71","0.118678","0.040884","0.014085","0.318310","0.318310","0.019718","0.005634","0.019718","0.092958","0.019718","0.005634","0.019718","0.008451","0.005634"
"72","0.117851","0.040458","0.013889","0.318310","0.318310","0.028912","0.001135","0.015023","0.082199","0.015023","0.015024","0.015023","0.012754","0.015024"
"73","0.117041","0.040041","0.013699","0.318310","0.318310","0.024156","0.003241","0.010457","0.071735","0.024156","0.010457","0.010457","0.016940","0.010457"
"74","0.116248","0.039635","0.013514","0.318310","0.318310","0.019528","0.006014","0.019528","0.075067","0.019528","0.006014","0.019528","0.007499","0.006015"
"75","0.115470","0.039238","0.013333","0.318310","0.318310","0.015024","0.001690","0.015023","0.078310","0.015023","0.001690","0.015023","0.001690","0.001690"
"76","0.114708","0.038850","0.013158","0.318310","0.318310","0.023795","0.002520","0.010637","0.081468","0.010638","0.002520","0.010637","0.002520","0.002520"
"77","0.113961","0.038471","0.012987","0.318310","0.318310","0.019353","0.006622","0.006365","0.084544","0.019352","0.006622","0.006365","0.006365","0.006621"
"78","0.113228","0.038100","0.012821","0.318310","0.318310","0.015023","0.010618","0.015023","0.074720","0.015023","0.010618","0.015023","0.002203","0.010617"
"79","0.112509","0.037738","0.012658","0.318310","0.318310","0.010804","0.014512","0.010804","0.077804","0.010804","0.001854","0.010804","0.001854","0.014512"
"80","0.111803","0.037384","0.012500","0.318310","0.318310","0.019190","0.018310","0.006690","0.080810","0.006690","0.006690","0.006690","0.006690","0.005810"
"81","0.111111","0.037037","0.012346","0.318310","0.318310","0.015023","0.009668","0.002678","0.071396","0.015023","0.002678","0.015023","0.002678","0.009668"
"82","0.110432","0.036698","0.012195","0.318310","0.318310","0.010958","0.013432","0.010958","0.074407","0.010958","0.001237","0.010958","0.001237","0.013432"
"83","0.109764","0.036366","0.012048","0.318310","0.318310","0.006991","0.005057","0.006991","0.077346","0.019040","0.005057","0.006991","0.006991","0.005057"
"84","0.109109","0.036040","0.011905","0.318310","0.318310","0.015024","0.008786","0.003119","0.080215","0.015023","0.008786","0.015023","0.003119","0.008786"
"85","0.108465","0.035722","0.011765","0.318310","0.318310","0.011102","0.012428","0.000663","0.083016","0.022867","0.012427","0.011102","0.000663","0.012427"
"86","0.107833","0.035410","0.011628","0.318310","0.318310","0.007272","0.015984","0.007271","0.085752","0.018899","0.015984","0.007272","0.004356","0.004356"
"87","0.107211","0.035104","0.011494","0.318310","0.318310","0.003529","0.019459","0.003529","0.088425","0.015023","0.007965","0.003529","0.003529","0.007965"
"88","0.106600","0.034805","0.011364","0.318310","0.318310","0.011236","0.011492","0.000128","0.091037","0.011236","0.000128","0.000128","0.011236","0.011492"
"89","0.106000","0.034511","0.011236","0.318310","0.318310","0.007533","0.014939","0.003703","0.093591","0.018769","0.003703","0.003703","0.007533","0.014939"
"90","0.105409","0.034223","0.011111","0.318310","0.318310","0.003912","0.007199","0.003912","0.096088","0.015023","0.007199","0.003912","0.003912","0.007199"
"91","0.104828","0.033941","0.010989","0.318310","0.318310","0.000371","0.010618","0.000371","0.087541","0.011360","0.010618","0.000371","0.000371","0.010618"
"92","0.104257","0.033663","0.010870","0.318310","0.318310","0.007777","0.003092","0.003093","0.079179","0.007777","0.003092","0.003092","0.007777","0.013962"
"93","0.103695","0.033392","0.010753","0.318310","0.318310","0.004271","0.006482","0.006482","0.081751","0.015023","0.006482","0.004271","0.004271","0.006482"
"94","0.103142","0.033125","0.010638","0.318310","0.318310","0.000839","0.009799","0.000839","0.073629","0.011477","0.009799","0.000839","0.011477","0.000839"
"95","0.102598","0.032863","0.010526","0.318310","0.318310","0.002520","0.013047","0.002520","0.065678","0.008006","0.002520","0.002520","0.008006","0.002520"
"96","0.102062","0.032606","0.010417","0.318310","0.318310","0.004607","0.005810","0.005810","0.068310","0.004607","0.004607","0.004607","0.004607","0.004607"
"97","0.101535","0.032353","0.010309","0.318310","0.318310","0.001278","0.001278","0.009032","0.060578","0.011587","0.001278","0.011587","0.001278","0.011587"
"98","0.101015","0.032106","0.010204","0.318310","0.318310","0.001983","0.001983","0.001983","0.063208","0.008221","0.001983","0.008221","0.001983","0.008221"
"99","0.100504","0.031862","0.010101","0.318310","0.318310","0.005179","0.005179","0.004922","0.065785","0.015023","0.004922","0.004922","0.004922","0.004922"
"100","0.100000","0.031623","0.010000","0.318310","0.318310","0.001690","0.001690","0.001690","0.068310","0.011690","0.001690","0.001690","0.001690","0.001690"
